,Nro.,Cód.,Fecha de  toma de muestra,Lugar,Coordenadas,Urb/Rural,Especie,Sexo,Conteo,lat,lon
0,1,1,2020-09-22,Sahagun,,Urbano,Glossophaga soricina,Macho,1,8.9472964,-75.4434972
1,2,2,2020-09-22,Sahagun,,Urbano,Artibeus planirostris,Hembra,1,8.9472964,-75.4434972
2,3,3,2020-09-22,Sahagun,,Urbano,Artibeus planirostris,Macho,1,8.9472964,-75.4434972
3,4,4,2020-09-22,Sahagun,,Urbano,Artibeus planirostris,Macho,1,8.9472964,-75.4434972
4,5,5,2020-09-22,Sahagun,,Urbano,Artibeus planirostris,Hembra,1,8.9472964,-75.4434972
5,6,6,2020-09-22,Sahagun,,Urbano,Phillostomus discolor,Hembra,1,8.9472964,-75.4434972
6,7,7,2020-09-22,Sahagun,,Urbano,Artibeus planirostris,Macho,1,8.9472964,-75.4434972
7,8,8,2020-09-22,Sahagun,,Urbano,Artibeus planirostris,Macho,1,8.9472964,-75.4434972
8,9,9,2020-09-29,Montelibano,,Urbano,Artibeus planirostris,Macho,1,7.9800534,-75.4167198
9,10,10,2020-09-29,Montelibano,,Urbano,Molossus molossus,Macho,1,7.9800534,-75.4167198
10,11,11,2020-09-29,Montelibano,,Urbano,Carollia perspicillata,Macho,1,7.9800534,-75.4167198
11,12,12,2020-09-29,Montelibano,,Urbano,Artibeus lituratus,Hembra,1,7.9800534,-75.4167198
12,13,13,2020-09-29,Montelibano,,Urbano,Carollia perspicillata,Hembra,1,7.9800534,-75.4167198
13,14,14,2020-09-29,Montelibano,,Urbano,Artibeus planirostris,Hembra,1,7.9800534,-75.4167198
14,15,15,2020-09-29,Montelibano,,Urbano,Artibeus planirostris,Macho,1,7.9800534,-75.4167198
15,16,16,2020-09-29,Montelibano,,Urbano,Artibeus planirostris,Macho,1,7.9800534,-75.4167198
16,17,17,2020-09-29,Montelibano,,Urbano,Artibeus planirostris,Macho,1,7.9800534,-75.4167198
17,18,18,2020-09-29,Montelibano,,Urbano,Carollia perspicillata,Hembra,1,7.9800534,-75.4167198
18,19,19,2020-10-06,Lorica,,Urbano,Artibeus planirostris,Macho,1,9.2394583,-75.8139786
19,20,20,2020-10-06,Lorica,,Urbano,Artibeus planirostris,Macho,1,9.2394583,-75.8139786
20,21,21,2020-10-06,Lorica,,Urbano,Sarcopterix leptura,Hembra,1,9.2394583,-75.8139786
21,22,22,2020-10-06,Lorica,,Urbano,Artibeus planirostris,Macho,1,9.2394583,-75.8139786
22,23,23,2020-10-06,Lorica,,Urbano,Glossophaga soricina,Hembra,1,9.2394583,-75.8139786
23,24,24,2020-10-06,Lorica,,Urbano,Artibeus planirostris,Hembra,1,9.2394583,-75.8139786
24,25,25,2020-10-06,Lorica,,Urbano,Glossophaga soricina,Hembra,1,9.2394583,-75.8139786
25,26,26,2020-10-06,Lorica,,Urbano,Artibeus planirostris,Macho,1,9.2394583,-75.8139786
26,27,27,2020-10-13,Tierralta,,Urbano,Artibeus planirostris,Macho,1,8.1717342,-76.059376
27,28,28,2020-10-13,Tierralta,,Urbano,Molossus molossus,Macho,1,8.1717342,-76.059376
28,29,29,2020-10-13,Tierralta,,Urbano,Molossus molossus,Macho,1,8.1717342,-76.059376
29,30,30,2020-10-13,Tierralta,,Urbano,Molossus molossus,Macho,1,8.1717342,-76.059376
30,31,31,2020-10-13,Tierralta,,Urbano,Molossus molossus,Macho,1,8.1717342,-76.059376
31,32,32,2020-10-13,Tierralta,,Urbano,Artibeus planirostris,Hembra,1,8.1717342,-76.059376
32,33,33,2020-10-13,Tierralta,,Urbano,Phillostomus discolor,Macho,1,8.1717342,-76.059376
33,34,43,2020-10-13,Tierralta,,Urbano,Artibeus planirostris,Macho,1,8.1717342,-76.059376
34,35,44,2020-10-13,Tierralta,,Urbano,Artibeus planirostris,Macho,1,8.1717342,-76.059376
35,36,45,2020-10-13,Tierralta,,Urbano,Carollia perspicillata,Macho,1,8.1717342,-76.059376
36,37,46,2020-10-20,Planeta Rica,,Urbano,Myotis nigricans,Hembra,1,8.4076739,-75.5840456
37,38,47,2020-10-20,Planeta Rica,,Urbano,Artibeus planirostris,Hembra,1,8.4076739,-75.5840456
38,39,48,2020-10-20,Planeta Rica,,Urbano,Glossophaga soricina,Hembra,1,8.4076739,-75.5840456
39,40,49,2020-10-20,Planeta Rica,,Urbano,Artibeus planirostris,Hembra,1,8.4076739,-75.5840456
40,41,50,2020-10-20,Planeta Rica,,Urbano,Artibeus planirostris,Hembra,1,8.4076739,-75.5840456
41,42,51,2020-11-06,San Antero,,Urbano,Phillostomus discolor,Macho,1,9.373016,-75.7595056
42,43,52,2020-11-06,San Antero,,Urbano,Artibeus planirostris,Macho,1,9.373016,-75.7595056
43,44,53,2020-11-06,San Antero,,Urbano,Phillostomus discolor,Macho,1,9.373016,-75.7595056
44,45,54,2020-11-06,San Antero,,Urbano,Phillostomus discolor,Hembra,1,9.373016,-75.7595056
45,46,55,2020-11-06,San Antero,,Urbano,Artibeus planirostris,Macho,1,9.373016,-75.7595056
46,47,56,2020-11-06,San Antero,,Urbano,Artibeus planirostris,Macho,1,9.373016,-75.7595056
47,48,57,2020-11-06,San Antero,,Urbano,Artibeus planirostris,Hembra,1,9.373016,-75.7595056
48,49,58,2020-11-06,San Antero,,Urbano,Artibeus planirostris,Macho,1,9.373016,-75.7595056
49,50,59,2020-11-06,San Antero,,Urbano,Artibeus planirostris,Macho,1,9.373016,-75.7595056
50,51,60,2020-11-06,San Antero,,Urbano,Artibeus planirostris,Macho,1,9.373016,-75.7595056
51,52,61,2020-11-06,San Antero,,Urbano,Glossophaga soricina,Hembra,1,9.373016,-75.7595056
52,53,62,2020-11-06,San Antero,,Urbano,Artibeus planirostris,Hembra,1,9.373016,-75.7595056
53,54,63,2020-11-06,San Antero,,Urbano,Artibeus planirostris,Hembra,1,9.373016,-75.7595056
54,55,64,2020-11-06,San Antero,,Urbano,Artibeus lituratus,Macho,1,9.373016,-75.7595056
55,56,65,2020-11-06,San Antero,,Urbano,Phillostomus discolor,Macho,1,9.373016,-75.7595056
56,57,66,2020-11-06,San Antero,,Urbano,Artibeus lituratus,Macho,1,9.373016,-75.7595056
57,58,67,2020-11-06,San Antero,,Urbano,Phillostomus discolor,Macho,1,9.373016,-75.7595056
58,59,68,2020-11-06,San Antero,,Urbano,Artibeus planirostris,Hembra,1,9.373016,-75.7595056
59,60,69,2020-11-06,San Antero,,Urbano,Artibeus planirostris,Hembra,1,9.373016,-75.7595056
60,61,70,2020-11-06,San Antero,,Urbano,Artibeus planirostris,Hembra,1,9.373016,-75.7595056
61,62,71,2020-11-06,San Antero,,Urbano,Desmodus rotundus,Macho,1,9.373016,-75.7595056
62,63,72,2020-11-06,San Antero,,Urbano,Artibeus planirostris,Macho,1,9.373016,-75.7595056
63,64,73,2020-11-06,San Antero,,Urbano,Desmodus rotundus,Macho,1,9.373016,-75.7595056
64,65,74,2020-11-10,Cereté,,Urbano,Artibeus planirostris,Macho,1,8.8852282,-75.7922421
65,66,75,2020-11-10,Cereté,,Urbano,Artibeus planirostris,Macho,1,8.8852282,-75.7922421
66,67,76,2020-11-10,Cereté,,Urbano,Artibeus planirostris,Macho,1,8.8852282,-75.7922421
67,68,77,2020-11-10,Cereté,,Urbano,Artibeus planirostris,Macho,1,8.8852282,-75.7922421
68,69,78,2020-11-10,Cereté,,Urbano,Artibeus planirostris,Macho,1,8.8852282,-75.7922421
69,70,79,2020-11-10,Cereté,,Urbano,Artibeus planirostris,Macho,1,8.8852282,-75.7922421
70,71,80,2020-11-10,Cereté,,Urbano,Artibeus planirostris,Macho,1,8.8852282,-75.7922421
71,72,81,2020-11-10,Cereté,,Urbano,Sturnira lilium,Macho,1,8.8852282,-75.7922421
72,73,82,2020-11-10,Cereté,,Urbano,Saccopteryx leptura,Macho,1,8.8852282,-75.7922421
73,74,83,2020-11-10,Cereté,,Urbano,Artibeus planirostris,Macho,1,8.8852282,-75.7922421
74,75,84,2020-11-10,Cereté,,Urbano,Phillostomus discolor,Macho,1,8.8852282,-75.7922421
75,76,85,2020-11-10,Cereté,,Urbano,Artibeus planirostris,Macho,1,8.8852282,-75.7922421
76,77,86,2020-11-10,Cereté,,Urbano,Artibeus planirostris,Macho,1,8.8852282,-75.7922421
77,78,87,2020-11-10,Cereté,,Urbano,Artibeus planirostris,Macho,1,8.8852282,-75.7922421
78,79,88,2020-11-10,Cereté,,Urbano,Artibeus planirostris,Hembra,1,8.8852282,-75.7922421
79,80,89,2020-11-10,Cereté,,Urbano,Artibeus planirostris,Hembra,1,8.8852282,-75.7922421
80,81,90,2020-11-10,Cereté,,Urbano,Artibeus planirostris,Macho,1,8.8852282,-75.7922421
81,82,91,2020-11-23,Montería,,Urbano,Noctilio alvibentris,Macho,1,8.7558921,-75.887029
82,83,92,2020-11-23,Montería,,Urbano,Glossophaga soricina,Hembra,1,8.7558921,-75.887029
83,84,93,2020-11-23,Montería,,Urbano,Artibeus planirostris,Macho,1,8.7558921,-75.887029
84,85,94,2020-11-23,Montería,,Urbano,Artibeus planirostris,Hembra,1,8.7558921,-75.887029
85,86,95,2020-11-23,Montería,,Urbano,Glossophaga soricina,Macho,1,8.7558921,-75.887029
86,87,96,2020-11-23,Montería,,Urbano,Artibeus planirostris,Hembra,1,8.7558921,-75.887029
87,88,97,2020-11-23,Montería,,Urbano,Artibeus planirostris,Macho,1,8.7558921,-75.887029
88,89,98,2020-11-23,Montería,,Urbano,Phillostomus discolor,Hembra,1,8.7558921,-75.887029
89,90,99,2020-11-23,Montería,,Urbano,Artibeus planirostris,Macho,1,8.7558921,-75.887029
90,91,100,2020-11-23,Montería,,Urbano,Phillostomus discolor,Hembra,1,8.7558921,-75.887029
91,92,101,2020-11-23,Montería,,Urbano,Phillostomus discolor,Macho,1,8.7558921,-75.887029
92,93,102,2020-11-23,Montería,,Urbano,Phillostomus discolor,Hembra,1,8.7558921,-75.887029
93,94,103,2020-11-23,Montería,,Urbano,Phillostomus discolor,Macho,1,8.7558921,-75.887029
94,95,104,2020-11-23,Montería,,Urbano,Artibeus planirostris,Macho,1,8.7558921,-75.887029
95,96,105,2020-11-23,Montería,,Urbano,Glossophaga soricina,Hembra,1,8.7558921,-75.887029
96,97,106,2020-11-23,Montería,,Urbano,Artibeus planirostris,Hembra,1,8.7558921,-75.887029
97,98,107,2020-11-23,Montería,,Urbano,Artibeus planirostris,Hembra,1,8.7558921,-75.887029
98,99,108,2020-11-23,Montería,,Urbano,Artibeus planirostris,Hembra,1,8.7558921,-75.887029
99,100,109,2020-11-23,Montería,,Urbano,Artibeus planirostris,Hembra,1,8.7558921,-75.887029
100,101,110,2020-11-23,Montería,,Urbano,Artibeus planirostris,Macho,1,8.7558921,-75.887029
101,102,111,2020-11-23,Montería,,Urbano,Phillostomus discolor,Macho,1,8.7558921,-75.887029
102,103,112,2020-11-23,Montería,,Urbano,Myotis nigricans,Hembra,1,8.7558921,-75.887029
103,104,113,2020-11-23,Montería,,Urbano,Glossophaga soricina,Macho,1,8.7558921,-75.887029
104,105,114,2020-11-23,Montería,,Urbano,Artibeus planirostris,Hembra,1,8.7558921,-75.887029
105,106,115,2020-11-23,Montería,,Urbano,Artibeus planirostris,Hembra,1,8.7558921,-75.887029
106,107,116,2020-12-09,Montería,,Urbano,Artibeus planirostris,Macho,1,8.7558921,-75.887029
107,108,117,2020-12-09,Montería,,Urbano,Glossophaga soricina,Hembra,1,8.7558921,-75.887029
108,109,118,2020-12-09,Montería,,Urbano,Artibeus planirostris,Macho,1,8.7558921,-75.887029
109,110,119,2020-12-09,Montería,,Urbano,Artibeus planirostris,Hembra,1,8.7558921,-75.887029
110,111,120,2020-12-09,Montería,,Urbano,Artibeus lituratus,Hembra,1,8.7558921,-75.887029
111,112,121,2020-12-09,Montería,,Urbano,Artibeus planirostris,Macho,1,8.7558921,-75.887029
112,113,122,2020-12-09,Montería,,Urbano,Artibeus lituratus,Hembra,1,8.7558921,-75.887029
113,114,123,2020-12-09,Montería,,Urbano,Sturnira lilium,Macho,1,8.7558921,-75.887029
114,115,124,2020-12-09,Montería,,Urbano,Artibeus planirostris,Macho,1,8.7558921,-75.887029
115,116,125,2020-12-09,Montería,,Urbano,Carollia perspicillata,Macho,1,8.7558921,-75.887029
116,117,126,2020-12-09,Montería,,Urbano,Artibeus planirostris,Macho,1,8.7558921,-75.887029
117,118,127,2020-12-09,Montería,,Urbano,Desmodus rotundus,Macho,1,8.7558921,-75.887029
118,119,128,2020-12-11,Tierralta,,Rural,Phillostomus hastatus,Macho,1,8.1717342,-76.059376
119,120,129,2020-12-11,Tierralta,,Rural,Artibeus planirostris,Hembra,1,8.1717342,-76.059376
120,121,130,2020-12-11,Tierralta,,Rural,Artibeus planirostris,Hembra,1,8.1717342,-76.059376
121,122,131,2020-12-11,Tierralta,,Rural,Artibeus planirostris,Macho,1,8.1717342,-76.059376
122,123,132,2020-12-11,Tierralta,,Rural,Artibeus planirostris,Hembra,1,8.1717342,-76.059376
123,124,133,2020-12-11,Tierralta,,Rural,Carollia perspicillata,Macho,1,8.1717342,-76.059376
124,125,134,2020-12-11,Tierralta,,Rural,Artibeus planirostris,Hembra,1,8.1717342,-76.059376
125,126,135,2020-12-11,Tierralta,,Rural,Artibeus planirostris,Macho,1,8.1717342,-76.059376
126,127,136,2020-12-11,Tierralta,,Rural,Artibeus planirostris,Macho,1,8.1717342,-76.059376
127,128,137,2020-12-11,Tierralta,,Rural,Artibeus lituratus,Macho,1,8.1717342,-76.059376
128,129,138,2020-12-11,Tierralta,,Rural,Artibeus planirostris,Macho,1,8.1717342,-76.059376
129,130,139,2020-12-11,Tierralta,,Rural,Artibeus planirostris,Hembra,1,8.1717342,-76.059376
130,131,140,2020-12-11,Tierralta,,Rural,Carollia perspicillata,Hembra,1,8.1717342,-76.059376
